Source,Author,Tier,File,PassportRows
"Project Hail Mary","Andy Weir",A_CORE,"Project Mary Hail.pdf",40
"Dark Matter","Blake Crouch",A_CORE,"Dark Matter - Blake Crouch.pdf",40
"Recursion","Blake Crouch",A_CORE,"Recursion - Blake Crouch.pdf",40
"Шпион, выйди вон!","John le Carré",A_CORE,"Kappe-Dzhon.-SHpion-vyjdi-von.pdf / FB2",40
"Storm Front","Jim Butcher",A_ENGINE,"storm-front-a-novel-of-the-dresden-files.pdf",40
"The Da Vinci Code","Dan Brown",A_ENGINE,"The Da Vinci Code.pdf",40
"Red Rising","Pierce Brown",B_ENGINE,"red-rising-pierce-brown.pdf",40
