Source,Author,Tier,File,Completeness,PassportRows
Отказ всех систем / Murderbot,Martha Wells,A_CORE,Uells_Marta_[Dnevniki_Killerbota]_Otkaz_vseh_sistem_(sbornik).zip,COLLECTION_UNVERIFIED,40
Карл – обходчик подземелий,Matt Dinniman,A_ENGINE,Dinniman_Mett_[Karl_–_Obhodchik_Podzemeliy#1]_Karl_–_obhodchik_podzemeliy.zip,LIKELY_FULL,40
Звёздная кровь 8. Истинный,Roman Prokofiev,A_ENGINE,Prokofev_R._Stellar._Zvezdnaya_Krov_8_Istinnyiyi.txt.zip,LIKELY_FULL,40
Ninth House,Leigh Bardugo,B_CORE,Bardugo Leigh. Ninth House - royallib.com.fb2.zip,LIKELY_FULL,40
Песчаный дьявол,James Rollins,B_ENGINE,Rollins_Djeyms_[Otryad_Sigma#1]_Peschanyiy_Dyavol.zip,LIKELY_FULL,40
Остаток дня — opening sample,Kazuo Ishiguro,A_CORE_OPENING,86793387.zip,FRAGMENT_EXPLICIT,40
Дозоры 1–3 — opening sample,Sergey Lukyanenko,A_CORE_OPENING,125896156.zip,FRAGMENT_EXPLICIT,40
